,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class
0,5.1,3.5,1.4,0.2,setosa
1,4.9,3.0,1.4,0.2,setosa
2,4.7,3.2,1.3,0.2,setosa
3,4.6,3.1,1.5,0.2,setosa
4,5.0,3.6,1.4,0.2,setosa
5,5.4,3.9,1.7,0.4,setosa
6,4.6,3.4,1.4,0.3,setosa
7,5.8,4.0,1.2,0.2,setosa
8,5.4,3.9,1.3,0.4,setosa
9,5.1,3.5,1.4,0.3,setosa
10,5.7,3.8,1.7,0.3,setosa
11,5.1,3.8,1.5,0.3,setosa
12,5.4,3.4,1.7,0.2,setosa
13,5.1,3.7,1.5,0.4,setosa
14,5.1,3.3,1.7,0.5,setosa
15,4.8,3.4,1.9,0.2,setosa
16,5.0,3.0,1.6,0.2,setosa
17,5.0,3.4,1.6,0.4,setosa
18,5.2,3.5,1.5,0.2,setosa
19,5.2,3.4,1.4,0.2,setosa
20,4.7,3.2,1.6,0.2,setosa
21,4.8,3.1,1.6,0.2,setosa
22,5.4,3.4,1.5,0.4,setosa
23,5.0,3.2,1.2,0.2,setosa
24,5.5,3.5,1.3,0.2,setosa
25,4.4,3.0,1.3,0.2,setosa
26,5.1,3.4,1.5,0.2,setosa
27,5.0,3.5,1.3,0.3,setosa
28,4.5,2.3,1.3,0.3,setosa
29,4.4,3.2,1.3,0.2,setosa
30,5.0,3.5,1.6,0.6,setosa
31,5.1,3.8,1.9,0.4,setosa
32,4.8,3.0,1.4,0.3,setosa
33,5.1,3.8,1.6,0.2,setosa
34,4.6,3.2,1.4,0.2,setosa
35,5.3,3.7,1.5,0.2,setosa
36,5.0,3.3,1.4,0.2,setosa
37,7.0,3.2,4.7,1.4,versicolor
38,6.4,3.2,4.5,1.5,versicolor
39,6.9,3.1,4.9,1.5,versicolor
40,5.5,2.3,4.0,1.3,versicolor
41,6.5,2.8,4.6,1.5,versicolor
42,5.7,2.8,4.5,1.3,versicolor
43,6.3,3.3,4.7,1.6,versicolor
44,4.9,2.4,3.3,1.0,versicolor
45,6.6,2.9,4.6,1.3,versicolor
46,5.2,2.7,3.9,1.4,versicolor
47,5.9,3.0,4.2,1.5,versicolor
48,6.1,2.9,4.7,1.4,versicolor
49,5.6,2.9,3.6,1.3,versicolor
50,6.7,3.1,4.4,1.4,versicolor
51,5.6,3.0,4.5,1.5,versicolor
52,5.8,2.7,4.1,1.0,versicolor
53,5.6,2.5,3.9,1.1,versicolor
54,5.9,3.2,4.8,1.8,versicolor
55,6.1,2.8,4.0,1.3,versicolor
56,6.3,2.5,4.9,1.5,versicolor
57,6.1,2.8,4.7,1.2,versicolor
58,6.4,2.9,4.3,1.3,versicolor
59,6.6,3.0,4.4,1.4,versicolor
60,6.8,2.8,4.8,1.4,versicolor
61,0.067,3.0,5.0,1.7,versicolor
62,0.06,2.9,4.5,1.5,versicolor
63,0.057,2.6,3.5,1.0,versicolor
64,5.8,2.7,3.9,1.2,versicolor
65,6.0,2.8,5.1,1.6,versicolor
66,5.4,3.0,4.5,1.5,versicolor
67,6.0,3.4,4.5,1.6,versicolor
68,6.7,3.1,4.7,1.5,versicolor
69,6.3,2.3,4.4,1.3,versicolor
70,5.6,3.0,4.1,1.3,versicolor
71,5.5,2.5,4.0,1.3,versicolor
72,5.5,2.6,4.4,1.2,versicolor
73,6.1,3.0,4.6,1.4,versicolor
74,5.8,2.6,4.0,1.2,versicolor
75,5.0,2.3,3.3,1.0,versicolor
76,5.6,2.7,4.2,1.3,versicolor
77,5.7,3.0,4.2,1.2,versicolor
78,5.7,2.9,4.2,1.3,versicolor
79,6.2,2.9,4.3,1.3,versicolor
80,5.1,2.5,3.0,1.1,versicolor
81,5.7,2.8,4.1,1.3,versicolor
82,5.8,2.7,5.1,1.9,virginica
83,7.1,3.0,5.9,2.1,virginica
84,6.3,2.9,5.6,1.8,virginica
85,6.5,3.0,5.8,2.2,virginica
86,4.9,2.5,4.5,1.7,virginica
87,7.3,2.9,6.3,1.8,virginica
88,6.7,2.5,5.8,1.8,virginica
89,6.5,3.2,5.1,2.0,virginica
90,6.4,2.7,5.3,1.9,virginica
91,6.8,3.0,5.5,2.1,virginica
92,5.7,2.5,5.0,2.0,virginica
93,5.8,2.8,5.1,2.4,virginica
94,6.4,3.2,5.3,2.3,virginica
95,6.5,3.0,5.5,1.8,virginica
96,6.9,3.2,5.7,2.3,virginica
97,5.6,2.8,4.9,2.0,virginica
98,6.3,2.7,4.9,1.8,virginica
99,6.7,3.3,5.7,2.1,virginica
100,7.2,3.2,6.0,1.8,virginica
101,6.2,2.8,4.8,1.8,virginica
102,6.1,3.0,4.9,1.8,virginica
103,6.4,2.8,5.6,2.1,virginica
104,7.2,3.0,5.8,1.6,virginica
105,7.4,2.8,6.1,1.9,virginica
106,6.4,2.8,5.6,2.2,virginica
107,6.3,2.8,5.1,1.5,virginica
108,6.1,2.6,5.6,1.4,virginica
109,6.3,3.4,5.6,2.4,virginica
110,6.4,3.1,5.5,1.8,virginica
111,6.0,3.0,4.8,1.8,virginica
112,6.9,3.1,5.4,2.1,virginica
113,6.7,3.1,5.6,2.4,virginica
114,6.9,3.1,5.1,2.3,virginica
115,5.8,2.7,5.1,1.9,virginica
116,6.8,3.2,5.9,2.3,virginica
117,6.7,3.0,5.2,2.3,virginica
118,6.3,2.5,5.0,2.3,virginica
119,6.5,3.0,5.2,2.0,virginica
120,6.2,3.4,5.4,2.3,virginica
121,5.9,3.0,5.1,1.8,virginica
